Rank,Sample_Index,y_keras,y_hls,abs_delta
298,83,1.000000,0.999023,0.000976
299,78,1.000000,0.999023,0.000976
300,73,1.000000,0.999023,0.000976
301,72,1.000000,0.999023,0.000976
302,62,1.000000,0.999023,0.000976
303,60,1.000000,0.999023,0.000976
304,53,1.000000,0.999023,0.000976
305,402,1.000000,0.999023,0.000976
306,52,1.000000,0.999023,0.000976
307,47,1.000000,0.999023,0.000976
308,43,1.000000,0.999023,0.000976
309,39,1.000000,0.999023,0.000976
310,1299,1.000000,0.999023,0.000976
311,4,1.000000,0.999023,0.000976
312,1336,1.000000,0.999023,0.000976
313,1340,1.000000,0.999023,0.000976
314,7,1.000000,0.999023,0.000976
315,1327,1.000000,0.999023,0.000976
316,40,1.000000,0.999023,0.000976
317,58,1.000000,0.999023,0.000976
318,187,1.000000,0.999023,0.000976
319,188,1.000000,0.999023,0.000976
320,190,1.000000,0.999023,0.000976
321,182,1.000000,0.999023,0.000976
322,186,1.000000,0.999023,0.000976
323,54,1.000000,0.999023,0.000976
324,191,1.000000,0.999023,0.000976
325,192,1.000000,0.999023,0.000976
326,217,1.000000,0.999023,0.000976
327,63,1.000000,0.999023,0.000976
328,64,1.000000,0.999023,0.000976
329,55,1.000000,0.999023,0.000976
330,107,1.000000,0.999023,0.000976
331,137,1.000000,0.999023,0.000976
332,114,1.000000,0.999023,0.000976
333,179,1.000000,0.999023,0.000976
334,176,1.000000,0.999023,0.000976
335,170,1.000000,0.999023,0.000976
336,150,1.000000,0.999023,0.000976
337,90,1.000000,0.999023,0.000976
338,70,1.000000,0.999023,0.000976
339,96,1.000000,0.999023,0.000976
340,97,1.000000,0.999023,0.000976
341,92,1.000000,0.999023,0.000976
342,98,1.000000,0.999023,0.000976
343,77,1.000000,0.999023,0.000976
344,82,1.000000,0.999023,0.000976
345,166,1.000000,0.999023,0.000976
346,35,1.000000,0.999023,0.000976
347,1338,1.000000,0.999023,0.000976
348,127,1.000000,0.999023,0.000976
349,1,1.000000,0.999023,0.000976
350,34,1.000000,0.999023,0.000976
351,1319,1.000000,0.999023,0.000976
352,162,1.000000,0.999023,0.000976
353,32,1.000000,0.999023,0.000976
354,1339,1.000000,0.999023,0.000976
355,69,1.000000,0.999023,0.000976
356,79,1.000000,0.999023,0.000976
357,88,1.000000,0.999023,0.000976
358,110,1.000000,0.999023,0.000976
359,167,1.000000,0.999023,0.000976
360,116,1.000000,0.999023,0.000976
361,76,1.000000,0.999023,0.000976
362,289,1.000000,0.999023,0.000976
363,59,1.000000,0.999023,0.000976
364,503,1.000000,0.999023,0.000976
365,335,1.000000,0.999023,0.000976
366,46,1.000000,0.999023,0.000976
367,6,1.000000,0.999023,0.000976
368,0,1.000000,0.999023,0.000976
369,41,1.000000,0.999023,0.000976
370,68,1.000000,0.999023,0.000976
371,189,1.000000,0.999023,0.000976
372,129,1.000000,0.999023,0.000976
373,3,1.000000,0.999023,0.000976
374,75,1.000000,0.999023,0.000976
375,164,1.000000,0.999023,0.000976
376,143,1.000000,0.999023,0.000976
377,108,1.000000,0.999023,0.000976
378,38,1.000000,0.999023,0.000976
379,13,1.000000,0.999023,0.000976
380,12,1.000000,0.999023,0.000976
381,9,1.000000,0.999023,0.000976
382,134,1.000000,0.999023,0.000976
383,135,1.000000,0.999023,0.000976
384,1211,1.000000,0.999023,0.000976
385,180,1.000000,0.999023,0.000976
386,841,1.000000,0.999023,0.000976
387,194,1.000000,0.999023,0.000976
388,66,1.000000,0.999023,0.000976
389,61,1.000000,0.999023,0.000976
390,106,1.000000,0.999023,0.000976
391,130,0.999999,0.999023,0.000976
392,80,0.999999,0.999023,0.000976
393,138,0.999999,0.999023,0.000976
394,1326,0.999999,0.999023,0.000976
395,1296,0.999999,0.999023,0.000976
396,1266,0.999999,0.999023,0.000976
397,91,0.999999,0.999023,0.000976
398,152,0.999999,0.999023,0.000976
399,307,0.999999,0.999023,0.000976
400,18,0.999999,0.999023,0.000976
401,16,0.999999,0.999023,0.000976
402,1324,0.999999,0.999023,0.000976
403,1334,0.999999,0.999023,0.000976
404,1325,0.999999,0.999023,0.000976
405,874,0.999999,0.999023,0.000976
406,183,0.999999,0.999023,0.000976
407,8,0.999999,0.999023,0.000976
408,2,0.999999,0.999023,0.000976
409,820,0.999999,0.999023,0.000976
410,427,0.999999,0.999023,0.000976
411,48,0.999999,0.999023,0.000976
412,142,0.999999,0.999023,0.000976
413,836,0.999999,0.999023,0.000976
414,592,0.999999,0.999023,0.000975
415,105,0.999999,0.999023,0.000975
416,1300,0.999999,0.999023,0.000975
417,158,0.999999,0.999023,0.000975
418,532,0.999999,0.999023,0.000975
419,125,0.999999,0.999023,0.000975
420,423,0.999999,0.999023,0.000975
421,67,0.999999,0.999023,0.000975
422,99,0.999999,0.999023,0.000975
423,17,0.999999,0.999023,0.000975
424,71,0.999999,0.999023,0.000975
425,231,0.999999,0.999023,0.000975
426,775,0.999999,0.999023,0.000975
427,301,0.999998,0.999023,0.000975
428,626,0.999998,0.999023,0.000975
429,124,0.999998,0.999023,0.000975
430,50,0.999998,0.999023,0.000975
431,1230,0.999998,0.999023,0.000975
432,317,0.999998,0.999023,0.000975
433,238,0.999998,0.999023,0.000975
434,795,0.999998,0.999023,0.000975
435,319,0.999998,0.999023,0.000975
436,1330,0.999998,0.999023,0.000975
437,81,0.999998,0.999023,0.000975
438,1256,0.999998,0.999023,0.000975
439,10,0.999998,0.999023,0.000975
440,910,0.999998,0.999023,0.000974
441,1234,0.999998,0.999023,0.000974
442,1196,0.999998,0.999023,0.000974
443,628,0.999998,0.999023,0.000974
444,660,0.999998,0.999023,0.000974
445,321,0.999998,0.999023,0.000974
446,767,0.999998,0.999023,0.000974
447,132,0.999997,0.999023,0.000974
448,620,0.999997,0.999023,0.000974
449,864,0.999997,0.999023,0.000974
450,133,0.999997,0.999023,0.000974
451,37,0.999997,0.999023,0.000974
452,909,0.999997,0.999023,0.000974
453,264,0.999997,0.999023,0.000974
454,178,0.999997,0.999023,0.000974
455,1278,0.999997,0.999023,0.000973
456,905,0.999997,0.999023,0.000973
457,515,0.999997,0.999023,0.000973
458,748,0.999997,0.999023,0.000973
459,891,0.999997,0.999023,0.000973
460,1268,0.999997,0.999023,0.000973
461,912,0.999997,0.999023,0.000973
462,297,0.999997,0.999023,0.000973
463,57,0.999996,0.999023,0.000973
464,1232,0.999996,0.999023,0.000973
465,252,0.999996,0.999023,0.000973
466,1219,0.999996,0.999023,0.000973
467,461,0.999996,0.999023,0.000973
468,327,0.999996,0.999023,0.000972
469,465,0.999996,0.999023,0.000972
470,509,0.999996,0.999023,0.000972
471,300,0.997074,0.998047,0.000972
472,499,0.999996,0.999023,0.000972
473,237,0.999996,0.999023,0.000972
474,825,0.999996,0.999023,0.000972
475,553,0.999996,0.999023,0.000972
